N°,Nom,Image,Tribu,Rang,Type,Nourrit. Pref.,Rôle,Rareté,Clan,Affiliation,Tags
001,Woko,,Vaillant,E,Feu,Boule de Riz,Combattant,Commun,Aucun,Aucun,"YKW1, Évolutif"
002,Pagno,,Vaillant,C,Feu,Boule de Riz,Combattant,Commun,Aucun,Aucun,"YKW1, Évolution"
003,Alfoncéo,,Vaillant,B,Terre,Boule de Riz,Combattant,Rare,Aucun,Aucun,YKW1
004,Toumou,,Vaillant,E,Vent,Jus,Combattant,Commun,Aucun,Aucun,"YKW1, Évolutif"
005,Lamlam'mou,,Vaillant,C,Vent,Jus,Combattant,Commun,Aucun,Aucun,"YKW1, Évolution"
006,Samoumouraï,,Vaillant,B,Glace,Jus,Combattant,Rare,Aucun,Aucun,YKW1
007,Samoussrai,,Vaillant,E,Glace,Déssert,Combattant,Commun,Aucun,Aucun,"YKW2, Évolutif"
008,Ronimpec,,Vaillant,B,Glace,Déssert,Guérisseur,Commun,Aucun,Aucun,"YKW2, Évolution, Tabloblabla"
009,Roupilion,,Vaillant,E,Glace,Cuisine Chinoise,Combattant,Commun,Aucun,Aucun,"YKW2, Évolutif"
010,Rugis,,Vaillant,A,Glace,Cuisine Chinoise,Combattant,Commun,Aucun,Aucun,"YKW2, Évolution"
011,Trépigno,,Vaillant,E,Feu,Viande,Combattant,Commun,Aucun,Aucun,"YKW2, Fusion, Fusion (Objet)"
012,Zerberker,,Vaillant,A,Feu,Viande,Combattant,Commun,Aucun,Aucun,"YKW2, Fusion, Fusionné (Objet)"
013,Fouétar,,Vaillant,S,Glace,Viande,Combattant,Rare,Aucun,Aucun,YKW1
014,Sumochi,,Vaillant,D,Terre,Boule de Riz,Combattant,Commun,Aucun,Aucun,"YKW1, Tabloblabla"
015,Mochimacho,,Vaillant,D,Feu,Boule de Riz,Combattant,Commun,Aucun,Aucun,YKW1
016,Sale de bain,,Vaillant,D,Foudre,Oden,Combattant,Commun,Aucun,Classique,YKW2
017,Agonigri,,Vaillant,D,Restauration,Boule de Riz,Combattant,Commun,Aucun,Aucun,"YKW2, Évolutif, Réa"
018,Onigrix,,Vaillant,A,Feu,Boule de Riz,Combattant,Commun,Aucun,Aucun,"YKW2, Évolution, Réa"
